АЗС_CODE,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,02.02.23,16,2984.6
Z313,02.02.23,17,3490.33
Z313,02.02.23,18,2940.91
Z313,02.02.23,19,3404.17
Z313,02.02.23,20,3570.79
Z313,02.02.23,21,3048.03
Z313,02.02.23,22,3170.27
Z313,02.02.23,23,3489.16
Z313,02.02.23,24,1795.82
Z313,02.02.24,1,2474.05
Z313,02.02.24,2,1872.71
Z313,02.02.24,3,829.47
Z313,02.02.24,4,1273.97
Z313,02.02.24,5,1249.71
Z313,02.02.24,6,267.33
Z313,02.02.24,7,899.22
Z313,02.02.24,8,2131.39
Z313,02.02.24,9,3402.16
Z313,02.02.24,10,3093.89
Z313,02.02.24,11,3233.32
Z313,02.02.24,12,3395.49
Z313,02.02.24,13,3046.08
Z313,02.02.24,14,2984.38
Z313,02.02.24,15,4023.83
Z313,02.02.24,16,3520.02
Z313,02.02.24,17,4204.4
Z313,02.02.24,18,3740.52
Z313,02.02.24,19,3870.7
Z313,02.02.24,20,3708.11
Z313,02.02.24,21,3689.38
Z313,02.02.24,22,3418
